img,label,category
https://asset0.wheelmap.org/system/uploads/photo/000/115/850/gallery_ipad_retina.jpg,1,restaurant
https://asset2.wheelmap.org/system/uploads/photo/000/115/851/gallery_ipad_retina.jpg,1,restaurant
https://asset2.wheelmap.org/system/uploads/photo/000/048/843/gallery_ipad_retina.jpg,1,toys
https://asset2.wheelmap.org/system/uploads/photo/000/048/844/gallery_ipad_retina.jpg,1,toys
https://asset3.wheelmap.org/system/uploads/photo/000/047/494/gallery_ipad_retina.jpg,1,sports_center
https://asset0.wheelmap.org/system/uploads/photo/000/056/755/gallery_ipad_retina.jpg,1,sports_center
https://asset3.wheelmap.org/system/uploads/photo/000/056/756/gallery_ipad_retina.jpg,1,sports_center
https://asset3.wheelmap.org/system/uploads/photo/000/058/515/gallery_ipad_retina.jpg,0,barber
https://accessibility-cloud.freetls.fastly.net/images/scale/place/3337674441/THGGdYroJ3yiQ_JjPnQYtH5t9lBphCXA8VsDSVhC06q.jpeg?fitw=1200&fith=1200,0,pharmacy
https://accessibility-cloud.freetls.fastly.net/images/scale/place/6037262893/ZqQwvjMZp6KN0WSiLIEPsFYRvWiCjmxU17YpM5C7d3x.jpeg?fitw=1200&fith=1200,0,coffee
https://accessibility-cloud.freetls.fastly.net/images/scale/place/5542473316/bI6ccQy1wv6_5NIATaze3h7C93CgCXXdyI85J2aLu8b.jpeg?fitw=1200&fith=1200,0,restaurant
https://asset2.wheelmap.org/system/uploads/photo/000/046/604/gallery_ipad_retina.jpg,1,restaurant
https://asset0.wheelmap.org/system/uploads/photo/000/046/605/gallery_ipad_retina.jpg,1,restaurant
https://asset1.wheelmap.org/system/uploads/photo/000/126/935/gallery_ipad_retina.jpg,1,restaurant
https://asset2.wheelmap.org/system/uploads/photo/000/126/936/gallery_ipad_retina.jpg,1,restaurant
https://asset0.wheelmap.org/system/uploads/photo/000/126/937/gallery_ipad_retina.jpg,1,restaurant
https://asset0.wheelmap.org/system/uploads/photo/000/115/844/gallery_ipad_retina.jpg,1,convenience_store
https://asset2.wheelmap.org/system/uploads/photo/000/115/845/gallery_ipad_retina.jpg,1,convenience_store
https://asset0.wheelmap.org/system/uploads/photo/000/115/878/gallery_ipad_retina.jpg,1,restaurant
https://asset2.wheelmap.org/system/uploads/photo/000/115/879/gallery_ipad_retina.jpg,1,restaurant
https://accessibility-cloud.freetls.fastly.net/images/scale/place/5252959189/duhiTdv_PXStjjgq6rDPaxGPh8auZvQU-6lewSlHavm.jpeg?fitw=1200&fith=1200,1,fastfood
https://accessibility-cloud.freetls.fastly.net/images/scale/place/5252959189/JuP1d7SJIBXwcU3W3T2zGGGY_Ls6xBLwvZl1lN5DupB.jpeg?fitw=1200&fith=1200,1,fastfood
https://accessibility-cloud.freetls.fastly.net/images/scale/place/3679105125/4EfnkNMNJTCs--p61Umvk1Nhapq0rMtm8X9_-Es9pjT.jpeg?fitw=1200&fith=1200,1,restaurant
